muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4125084,Kredi Kartı,0.0,0.0
M4129286,BELIRTILMEMIS,0.0,0.0
M4129286,Kredi Kartı,0.0,0.0
M4129022,Kredi Kartı,0.0,0.0
M4129022,BELIRTILMEMIS,0.0,0.0
M4128630,BELIRTILMEMIS,0.0,0.0
M4124210,Kredi Kartı,0.0,0.0
M4124414,BELIRTILMEMIS,0.0,0.0
M4129647,BELIRTILMEMIS,0.0,0.0
M4124767,Kredi Kartı,0.0,0.0
M4126111,Kredi Kartı,0.0,0.0
M4126111,Peşin,0.0,0.0
M4126790,Peşin,0.0,0.0
M4126790,BELIRTILMEMIS,0.0,0.0
M4126483,Kredi Kartı,0.0,0.0
M4126548,Peşin,0.0,-2.0
M4126804,Kredi Kartı,0.0,0.0
M4126869,Peşin,0.0,0.0
M4126367,Kredi Kartı,0.0,0.0
M4126636,Kredi Kartı,0.0,0.0
M4125575,BELIRTILMEMIS,0.0,0.0
M4125575,Kredi Kartı,0.0,0.0
M4125591,BELIRTILMEMIS,0.0,0.0
M4126654,Kredi Kartı,0.0,0.0
M4126784,BELIRTILMEMIS,0.0,0.0
M4126784,Kredi Kartı,0.0,28.0
M4125524,BELIRTILMEMIS,0.0,0.0
M4126761,Kredi Kartı,0.0,0.0
M4126863,Kredi Kartı,0.0,0.0
M4126369,Kredi Kartı,0.0,0.0
M4126726,Kredi Kartı,0.0,0.0
M4126601,Kredi Kartı,0.0,0.0
M4126872,Kredi Kartı,0.0,0.0
M4126426,Kredi Kartı,0.0,-1.0
M4126433,Kredi Kartı,0.0,0.0
M4126592,Kredi Kartı,0.0,0.0
M4126861,Kredi Kartı,0.0,-0.5
M4126473,Kredi Kartı,0.0,0.0
M4126898,Kredi Kartı,0.0,0.0
M4125504,BELIRTILMEMIS,0.0,0.0
M4125519,BELIRTILMEMIS,0.0,0.0
M4125571,BELIRTILMEMIS,0.0,0.0
M4126776,Kredi Kartı,0.0,0.0
M4125626,BELIRTILMEMIS,0.0,0.0
M4125626,Kredi Kartı,0.0,-18.0
M4125626,BELIRTILMEMIS,0.0,0.0
M4126684,Kredi Kartı,0.0,0.0
M4125652,BELIRTILMEMIS,0.0,0.0
M4126384,Havale,0.0,0.0
M4126384,Kredi Kartı,0.0,0.0
M4126457,Kredi Kartı,0.0,0.0
M4126692,Kredi Kartı,0.0,0.0
M4126911,Peşin,0.0,0.0
M4125569,Kredi Kartı,0.0,0.0
M4125569,BELIRTILMEMIS,0.0,0.0
M4126775,Peşin,0.0,0.0
M4126397,Kredi Kartı,0.0,0.0
M4126270,Kredi Kartı,0.0,-0.5
M4126875,Peşin,0.0,0.0
M4126875,Kredi Kartı,0.0,0.0
M4125577,Havale,0.0,0.0
M4125577,BELIRTILMEMIS,0.0,0.0
M4125577,Kredi Kartı,0.0,0.0
M4125577,Peşin,0.0,0.0
M4126651,Havale,0.0,0.0
M4126879,Peşin,0.0,0.0
M4126879,Kredi Kartı,0.0,0.0
M4126771,Kredi Kartı,0.0,-0.36
M4126430,Kredi Kartı,0.0,0.0
M4125518,BELIRTILMEMIS,0.0,0.0
M4126827,Peşin,0.0,0.0
M4126756,Kredi Kartı,0.0,0.0
M4126851,Peşin,0.0,0.0
M4126851,Kredi Kartı,0.0,0.0
